trainability,stranger_directed_aggression,owner_directed_aggression,dog_directed_aggression,stranger_directed_fear,nonsocial_fear,dog_directed_fear,touch_sensitivity,separation_related,excitability,attachment,chasing,energy,cluster_gmm,gmm_max_proba
1.125,0.6666666666666666,0.0,1.6666666666666667,0.0,1.0,1.0,0.3333333333333333,0.5,1.3333333333333333,1.5,3.0,1.6666666666666667,4,0.6142599217730724
1.625,0.8333333333333334,0.1666666666666666,1.3333333333333333,1.0,2.0,0.5,1.0,1.375,1.6666666666666667,1.6666666666666667,3.3333333333333335,1.3333333333333333,0,0.6555185697751548
1.5,0.6666666666666666,0.3333333333333333,1.0,1.5,0.3333333333333333,1.0,1.0,0.0,2.3333333333333335,3.5,3.0,3.0,3,0.9656040830200606
1.625,0.3333333333333333,0.0,1.3333333333333333,0.0,0.1666666666666666,0.0,0.0,0.5,0.6666666666666666,1.6666666666666667,0.0,0.6666666666666666,4,0.7043984195550762
1.5,0.5,0.0,1.3333333333333333,0.25,1.6666666666666667,1.0,3.0,1.25,2.0,2.6666666666666665,1.6666666666666667,1.6666666666666667,1,0.9990739587404067
1.875,0.5,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.5,2.3333333333333335,1.6666666666666667,3.5,2.0,4,0.7504597623102874
1.625,0.6666666666666666,0.0,2.0,1.0,0.6666666666666666,1.0,1.0,2.125,3.3333333333333335,2.0,4.0,2.3333333333333335,1,0.9998073840778942
1.25,0.6666666666666666,0.3333333333333333,2.6666666666666665,1.0,1.3333333333333333,0.0,1.3333333333333333,0.125,2.3333333333333335,2.1666666666666665,4.0,2.0,3,0.5090059482611318
1.375,0.5,0.0,3.6666666666666665,0.75,2.3333333333333335,0.0,0.0,1.5,2.3333333333333335,1.8333333333333333,4.0,1.6666666666666667,1,0.9999071235271774
1.625,0.5,0.0,3.3333333333333335,1.25,1.8333333333333333,3.5,1.0,0.25,1.3333333333333333,2.5,1.6666666666666667,1.3333333333333333,1,0.9998852403491892
1.25,0.5,0.0,2.0,0.75,1.6666666666666667,2.5,1.3333333333333333,1.75,2.6666666666666665,2.3333333333333335,2.3333333333333335,3.0,1,0.9992842185607553
1.125,0.1666666666666666,0.0,3.0,0.0,1.5,0.0,1.0,0.375,1.0,1.6666666666666667,4.0,1.6666666666666667,4,0.6796086557080403
1.375,0.6666666666666666,0.0,1.6666666666666667,0.75,2.1666666666666665,0.5,1.3333333333333333,2.25,2.1666666666666665,2.3333333333333335,3.3333333333333335,1.0,1,0.9998913965852654
0.875,0.5,0.3333333333333333,1.6666666666666667,0.75,1.6666666666666667,0.0,0.6666666666666666,0.625,2.8333333333333335,2.6666666666666665,4.0,1.3333333333333333,3,0.974967131611213
1.5,0.5,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,1.75,2.6666666666666665,4.0,4.0,3.0,4,0.7808413364416537
